index,int8,hex,mV
9643,0,00,0
9644,-2,fe,-0.030519
9645,-1,ff,-0.015259
9646,0,00,0
9647,-1,ff,-0.015259
9648,-1,ff,-0.015259
9649,-1,ff,-0.015259
9650,-1,ff,-0.015259
9651,0,00,0
9652,0,00,0
9653,0,00,0
9654,0,00,0
9655,0,00,0
9656,2,02,0.030519
9657,2,02,0.030519
9658,7,07,0.106815
9659,6,06,0.091556
9660,5,05,0.076296
9661,4,04,0.061037
9662,0,00,0
9663,-4,fc,-0.061037
9664,-10,f6,-0.152593
9665,-17,ef,-0.259407
9666,-19,ed,-0.289926
9667,-20,ec,-0.305185
9668,-17,ef,-0.259407
9669,-12,f4,-0.183111
9670,-5,fb,-0.076296
9671,1,01,0.015259
9672,3,03,0.045778
9673,8,08,0.122074
9674,9,09,0.137333
9675,5,05,0.076296
9676,6,06,0.091556
9677,3,03,0.045778
9678,1,01,0.015259
9679,0,00,0
9680,0,00,0
9681,0,00,0
9682,-1,ff,-0.015259
9683,-1,ff,-0.015259
9684,-2,fe,-0.030519
9685,-1,ff,-0.015259
9686,0,00,0
9687,-2,fe,-0.030519
9688,0,00,0
9689,0,00,0
9690,-2,fe,-0.030519
9691,0,00,0
9692,-1,ff,-0.015259
9693,-2,fe,-0.030519
9694,-2,fe,-0.030519
9695,-1,ff,-0.015259
9696,0,00,0
9697,-2,fe,-0.030519
9698,-2,fe,-0.030519
9699,-2,fe,-0.030519
9700,-1,ff,-0.015259
9701,0,00,0
9702,0,00,0
9703,1,01,0.015259
9704,-1,ff,-0.015259
9705,-1,ff,-0.015259
9706,0,00,0
9707,0,00,0
9708,-1,ff,-0.015259
9709,-2,fe,-0.030519
9710,-2,fe,-0.030519
9711,0,00,0
9712,-2,fe,-0.030519
9713,-3,fd,-0.045778
9714,-4,fc,-0.061037
9715,-4,fc,-0.061037
9716,-3,fd,-0.045778
9717,-4,fc,-0.061037
9718,-1,ff,-0.015259
9719,-4,fc,-0.061037
9720,-4,fc,-0.061037
9721,-2,fe,-0.030519
9722,-4,fc,-0.061037
9723,-5,fb,-0.076296
9724,-5,fb,-0.076296
9725,-5,fb,-0.076296
9726,-3,fd,-0.045778
9727,-4,fc,-0.061037
9728,-4,fc,-0.061037
9729,-3,fd,-0.045778
9730,-1,ff,-0.015259
9731,0,00,0
9732,-2,fe,-0.030519
9733,0,00,0
9734,-3,fd,-0.045778
9735,-2,fe,-0.030519
9736,0,00,0
9737,-1,ff,-0.015259
9738,0,00,0
9739,0,00,0
9740,0,00,0
9741,1,01,0.015259
9742,0,00,0
9743,0,00,0
9744,-1,ff,-0.015259
9745,-1,ff,-0.015259
9746,0,00,0
9747,-1,ff,-0.015259
9748,1,01,0.015259
9749,2,02,0.030519
9750,0,00,0
9751,1,01,0.015259
9752,-1,ff,-0.015259
9753,-1,ff,-0.015259
9754,-1,ff,-0.015259
9755,0,00,0
9756,1,01,0.015259
9757,0,00,0
9758,-1,ff,-0.015259
9759,-1,ff,-0.015259
9760,-1,ff,-0.015259
9761,0,00,0
9762,-1,ff,-0.015259
9763,0,00,0
9764,-2,fe,-0.030519
9765,-2,fe,-0.030519
9766,0,00,0
9767,-2,fe,-0.030519
