index,int8,hex,mV
8824,0,00,0
8825,0,00,0
8826,1,01,0.015259
8827,0,00,0
8828,0,00,0
8829,0,00,0
8830,1,01,0.015259
8831,5,05,0.076296
8832,6,06,0.091556
8833,11,0b,0.167852
8834,10,0a,0.152593
8835,4,04,0.061037
8836,1,01,0.015259
8837,-5,fb,-0.076296
8838,-12,f4,-0.183111
8839,-20,ec,-0.305185
8840,-23,e9,-0.350963
8841,-20,ec,-0.305185
8842,-17,ef,-0.259407
8843,-10,f6,-0.152593
8844,-5,fb,-0.076296
8845,0,00,0
8846,5,05,0.076296
8847,6,06,0.091556
8848,10,0a,0.152593
8849,6,06,0.091556
8850,5,05,0.076296
8851,4,04,0.061037
8852,1,01,0.015259
8853,0,00,0
8854,0,00,0
8855,-1,ff,-0.015259
8856,0,00,0
8857,-2,fe,-0.030519
8858,-2,fe,-0.030519
8859,-2,fe,-0.030519
8860,-2,fe,-0.030519
8861,0,00,0
8862,-1,ff,-0.015259
8863,2,02,0.030519
8864,-1,ff,-0.015259
8865,-1,ff,-0.015259
8866,0,00,0
8867,-2,fe,-0.030519
8868,-1,ff,-0.015259
8869,-1,ff,-0.015259
8870,-1,ff,-0.015259
8871,0,00,0
8872,-1,ff,-0.015259
8873,0,00,0
8874,0,00,0
8875,0,00,0
8876,0,00,0
8877,0,00,0
8878,2,02,0.030519
8879,0,00,0
8880,-1,ff,-0.015259
8881,0,00,0
8882,-3,fd,-0.045778
8883,-3,fd,-0.045778
8884,-4,fc,-0.061037
8885,-3,fd,-0.045778
8886,-1,ff,-0.015259
8887,-3,fd,-0.045778
8888,-3,fd,-0.045778
8889,-4,fc,-0.061037
8890,-5,fb,-0.076296
8891,-5,fb,-0.076296
8892,-7,f9,-0.106815
8893,-4,fc,-0.061037
8894,-8,f8,-0.122074
8895,-8,f8,-0.122074
8896,-6,fa,-0.091556
8897,-7,f9,-0.106815
8898,-7,f9,-0.106815
8899,-7,f9,-0.106815
8900,-6,fa,-0.091556
8901,-5,fb,-0.076296
8902,-6,fa,-0.091556
8903,-5,fb,-0.076296
8904,-4,fc,-0.061037
8905,-2,fe,-0.030519
8906,0,00,0
8907,0,00,0
8908,3,03,0.045778
8909,1,01,0.015259
8910,1,01,0.015259
8911,3,03,0.045778
8912,1,01,0.015259
8913,2,02,0.030519
8914,1,01,0.015259
8915,1,01,0.015259
8916,3,03,0.045778
8917,1,01,0.015259
8918,1,01,0.015259
8919,0,00,0
8920,0,00,0
8921,0,00,0
