index,int16,hex,mV
193,-32,e0ff,-0.488296
194,-45,d3ff,-0.686666
195,-22,eaff,-0.335704
196,14,0e00,0.21363
197,-21,ebff,-0.320444
198,-1,ffff,-0.015259
199,-12,f4ff,-0.183111
200,2,0200,0.030519
201,32,2000,0.488296
202,-21,ebff,-0.320444
203,-5,fbff,-0.076296
204,-15,f1ff,-0.228889
205,-7,f9ff,-0.106815
206,2,0200,0.030519
207,-21,ebff,-0.320444
208,-20,ecff,-0.305185
209,-38,daff,-0.579852
210,-27,e5ff,-0.412
211,-6,faff,-0.091556
212,-22,eaff,-0.335704
213,-9,f7ff,-0.137333
214,68,4400,1.037629
215,2,0200,0.030519
216,81,5100,1.236
217,36,2400,0.549333
218,1,0100,0.015259
219,51,3300,0.778222
220,1,0100,0.015259
221,79,4f00,1.205481
222,108,6c00,1.648
223,108,6c00,1.648
224,67,4300,1.02237
225,-22,eaff,-0.335704
226,23,1700,0.350963
227,104,6800,1.586962
228,81,5100,1.236
229,-33,dfff,-0.503555
230,-95,a1ff,-1.449629
231,-34,deff,-0.518815
232,57,3900,0.869778
233,52,3400,0.793481
234,-38,daff,-0.579852
235,-87,a9ff,-1.327555
236,-27,e5ff,-0.412
237,57,3900,0.869778
238,56,3800,0.854518
239,-25,e7ff,-0.381481
240,-73,b7ff,-1.113926
241,-20,ecff,-0.305185
242,55,3700,0.839259
243,50,3200,0.762963
244,-24,e8ff,-0.366222
245,-66,beff,-1.007111
246,-18,eeff,-0.274667
247,50,3200,0.762963
248,45,2d00,0.686666
249,-22,eaff,-0.335704
250,-60,c4ff,-0.915555
251,-16,f0ff,-0.244148
252,45,2d00,0.686666
253,43,2b00,0.656148
254,-19,edff,-0.289926
255,-54,caff,-0.824
256,-15,f1ff,-0.228889
257,40,2800,0.61037
258,36,2400,0.549333
259,-19,edff,-0.289926
260,-48,d0ff,-0.732444
261,-14,f2ff,-0.21363
262,37,2500,0.564592
263,58,3a00,0.885037
264,47,2f00,0.717185
265,49,3100,0.747703
266,86,5600,1.312296
267,108,6c00,1.648
268,108,6c00,1.648
269,68,4400,1.037629
270,36,2400,0.549333
271,44,2c00,0.671407
272,58,3a00,0.885037
273,43,2b00,0.656148
274,4,0400,0.061037
275,-18,eeff,-0.274667
276,-4,fcff,-0.061037
277,14,0e00,0.21363
278,8,0800,0.122074
279,-20,ecff,-0.305185
280,-38,daff,-0.579852
281,-22,eaff,-0.335704
282,-1,ffff,-0.015259
283,-2,feff,-0.030519
284,-27,e5ff,-0.412
285,-41,d7ff,-0.625629
286,-27,e5ff,-0.412
287,-10,f6ff,-0.152593
288,-15,f1ff,-0.228889
289,-35,ddff,-0.534074
290,-44,d4ff,-0.671407
291,-28,e4ff,-0.427259
292,-10,f6ff,-0.152593
293,-10,f6ff,-0.152593
294,-26,e6ff,-0.396741
295,-32,e0ff,-0.488296
296,-18,eeff,-0.274667
297,-1,ffff,-0.015259
298,0,0000,0
299,-14,f2ff,-0.21363
300,-20,ecff,-0.305185
301,-6,faff,-0.091556
302,7,0700,0.106815
303,8,0800,0.122074
304,-2,feff,-0.030519
305,-5,fbff,-0.076296
306,3,0300,0.045778
307,9,0900,0.137333
308,4,0400,0.061037
309,-10,f6ff,-0.152593
310,-17,efff,-0.259407
311,-7,f9ff,-0.106815
312,1,0100,0.015259
313,0,0000,0
314,-10,f6ff,-0.152593
315,-15,f1ff,-0.228889
316,-8,f8ff,-0.122074
317,-3,fdff,-0.045778
318,-7,f9ff,-0.106815
319,-19,edff,-0.289926
320,-24,e8ff,-0.366222
321,-17,efff,-0.259407
322,-10,f6ff,-0.152593
323,-12,f4ff,-0.183111
324,-22,eaff,-0.335704
325,-26,e6ff,-0.396741
326,-17,efff,-0.259407
327,-9,f7ff,-0.137333
328,-9,f7ff,-0.137333
329,-20,ecff,-0.305185
330,-25,e7ff,-0.381481
331,-20,ecff,-0.305185
332,-13,f3ff,-0.19837
333,-14,f2ff,-0.21363
334,-23,e9ff,-0.350963
335,-27,e5ff,-0.412
336,-19,edff,-0.289926
337,-13,f3ff,-0.19837
338,-14,f2ff,-0.21363
339,-23,e9ff,-0.350963
340,-27,e5ff,-0.412
341,-21,ebff,-0.320444
342,-14,f2ff,-0.21363
343,-11,f5ff,-0.167852
344,-12,f4ff,-0.183111
345,-10,f6ff,-0.152593
346,7,0700,0.106815
347,29,1d00,0.442518
348,44,2c00,0.671407
349,46,2e00,0.701926
350,47,2f00,0.717185
351,53,3500,0.808741
352,56,3800,0.854518
353,54,3600,0.824
354,48,3000,0.732444
355,58,3a00,0.885037
356,79,4f00,1.205481
357,92,5c00,1.403851
358,96,6000,1.464888
359,83,5300,1.266518
360,68,4400,1.037629
361,58,3a00,0.885037
362,51,3300,0.778222
363,50,3200,0.762963
364,62,3e00,0.946074
365,86,5600,1.312296
366,100,6400,1.525925
367,108,6c00,1.648
368,108,6c00,1.648
369,103,6700,1.571703
370,78,4e00,1.190222
371,14,0e00,0.21363
372,-50,ceff,-0.762963
373,-92,a4ff,-1.403851
374,-108,94ff,-1.648
375,-108,94ff,-1.648
376,-108,94ff,-1.648
377,-94,a2ff,-1.43437
378,-93,a3ff,-1.419111
379,-108,94ff,-1.648
380,-108,94ff,-1.648
381,-108,94ff,-1.648
382,-96,a0ff,-1.464888
383,-91,a5ff,-1.388592
384,-97,9fff,-1.480148
385,-93,a3ff,-1.419111
386,-64,c0ff,-0.976592
387,-29,e3ff,-0.442518
388,-16,f0ff,-0.244148
389,-23,e9ff,-0.350963
390,-30,e2ff,-0.457778
391,-14,f2ff,-0.21363
392,6,0600,0.091556
393,9,0900,0.137333
394,-5,fbff,-0.076296
395,-14,f2ff,-0.21363
396,-5,fbff,-0.076296
397,9,0900,0.137333
398,10,0a00,0.152593
399,-4,fcff,-0.061037
400,-14,f2ff,-0.21363
401,-6,faff,-0.091556
402,7,0700,0.106815
403,7,0700,0.106815
404,-14,f2ff,-0.21363
405,-20,ecff,-0.305185
406,-10,f6ff,-0.152593
407,6,0600,0.091556
408,9,0900,0.137333
409,-2,feff,-0.030519
410,-71,b9ff,-1.083407
411,-95,a1ff,-1.449629
412,-75,b5ff,-1.144444
413,-48,d0ff,-0.732444
414,-26,e6ff,-0.396741
415,-1,ffff,-0.015259
416,26,1a00,0.396741
417,46,2e00,0.701926
418,50,3200,0.762963
419,37,2500,0.564592
420,29,1d00,0.442518
421,30,1e00,0.457778
422,32,2000,0.488296
423,24,1800,0.366222
424,10,0a00,0.152593
425,3,0300,0.045778
426,7,0700,0.106815
427,12,0c00,0.183111
428,8,0800,0.122074
429,-1,ffff,-0.015259
430,-5,fbff,-0.076296
431,0,0000,0
432,6,0600,0.091556
433,4,0400,0.061037
434,-4,fcff,-0.061037
435,-7,f9ff,-0.106815
436,-2,feff,-0.030519
437,3,0300,0.045778
438,1,0100,0.015259
439,-5,fbff,-0.076296
440,-7,f9ff,-0.106815
441,-2,feff,-0.030519
442,3,0300,0.045778
443,1,0100,0.015259
444,-4,fcff,-0.061037
445,-7,f9ff,-0.106815
446,-2,feff,-0.030519
447,2,0200,0.030519
448,2,0200,0.030519
449,-4,fcff,-0.061037
450,-6,faff,-0.091556
451,-3,fdff,-0.045778
452,0,0000,0
453,10,0a00,0.152593
454,26,1a00,0.396741
455,34,2200,0.518815
456,23,1700,0.350963
457,1,0100,0.015259
458,-8,f8ff,-0.122074
459,-5,fbff,-0.076296
460,1,0100,0.015259
461,-1,ffff,-0.015259
462,-11,f5ff,-0.167852
463,-9,f7ff,-0.137333
464,-2,feff,-0.030519
465,3,0300,0.045778
466,-1,ffff,-0.015259
467,-12,f4ff,-0.183111
468,-13,f3ff,-0.19837
469,-5,fbff,-0.076296
470,2,0200,0.030519
471,0,0000,0
472,-9,f7ff,-0.137333
473,-9,f7ff,-0.137333
474,-2,feff,-0.030519
475,2,0200,0.030519
476,-1,ffff,-0.015259
477,-11,f5ff,-0.167852
478,-14,f2ff,-0.21363
479,-12,f4ff,-0.183111
480,-11,f5ff,-0.167852
481,-15,f1ff,-0.228889
482,-23,e9ff,-0.350963
483,-20,ecff,-0.305185
484,-10,f6ff,-0.152593
485,-1,ffff,-0.015259
486,0,0000,0
487,-4,fcff,-0.061037
488,-3,fdff,-0.045778
489,1,0100,0.015259
490,3,0300,0.045778
491,0,0000,0
492,-6,faff,-0.091556
493,-4,fcff,-0.061037
494,0,0000,0
495,2,0200,0.030519
496,0,0000,0
497,-5,fbff,-0.076296
498,-6,faff,-0.091556
499,-2,feff,-0.030519
500,0,0000,0
501,-2,feff,-0.030519
502,-8,f8ff,-0.122074
503,-8,f8ff,-0.122074
504,-5,fbff,-0.076296
505,0,0000,0
506,0,0000,0
507,-2,feff,-0.030519
508,3,0300,0.045778
509,9,0900,0.137333
510,15,0f00,0.228889
511,17,1100,0.259407
512,12,0c00,0.183111
513,12,0c00,0.183111
514,13,0d00,0.19837
515,12,0c00,0.183111
516,7,0700,0.106815
517,0,0000,0
518,0,0000,0
519,4,0400,0.061037
520,5,0500,0.076296
521,3,0300,0.045778
522,-2,feff,-0.030519
523,-1,ffff,-0.015259
524,2,0200,0.030519
525,5,0500,0.076296
526,5,0500,0.076296
527,0,0000,0
528,0,0000,0
529,0,0000,0
530,0,0000,0
531,-1,ffff,-0.015259
532,-6,faff,-0.091556
533,-7,f9ff,-0.106815
534,-6,faff,-0.091556
535,-5,fbff,-0.076296
536,-7,f9ff,-0.106815
537,-11,f5ff,-0.167852
538,-10,f6ff,-0.152593
539,-9,f7ff,-0.137333
540,-9,f7ff,-0.137333
541,-9,f7ff,-0.137333
542,-12,f4ff,-0.183111
543,-10,f6ff,-0.152593
544,-6,faff,-0.091556
545,-2,feff,-0.030519
546,-1,ffff,-0.015259
547,-3,fdff,-0.045778
548,-2,feff,-0.030519
549,0,0000,0
550,1,0100,0.015259
551,1,0100,0.015259
552,-1,ffff,-0.015259
553,1,0100,0.015259
554,2,0200,0.030519
555,3,0300,0.045778
556,2,0200,0.030519
557,0,0000,0
558,1,0100,0.015259
559,1,0100,0.015259
560,1,0100,0.015259
561,0,0000,0
562,-2,feff,-0.030519
563,-3,fdff,-0.045778
564,-3,fdff,-0.045778
565,-4,fcff,-0.061037
566,-5,fbff,-0.076296
567,-8,f8ff,-0.122074
568,-5,fbff,-0.076296
569,-3,fdff,-0.045778
570,-3,fdff,-0.045778
571,-3,fdff,-0.045778
572,-5,fbff,-0.076296
573,-4,fcff,-0.061037
574,-3,fdff,-0.045778
575,-2,feff,-0.030519
576,-2,feff,-0.030519
577,-4,fcff,-0.061037
578,-3,fdff,-0.045778
579,-1,ffff,-0.015259
580,-1,ffff,-0.015259
581,-2,feff,-0.030519
582,-4,fcff,-0.061037
583,-2,feff,-0.030519
584,-3,fdff,-0.045778
585,-3,fdff,-0.045778
586,-3,fdff,-0.045778
587,-4,fcff,-0.061037
588,-2,feff,-0.030519
589,0,0000,0
590,2,0200,0.030519
591,6,0600,0.091556
592,8,0800,0.122074
593,11,0b00,0.167852
594,11,0b00,0.167852
595,7,0700,0.106815
596,2,0200,0.030519
597,-4,fcff,-0.061037
598,-9,f7ff,-0.137333
599,-16,f0ff,-0.244148
600,-22,eaff,-0.335704
601,-21,ebff,-0.320444
602,-18,eeff,-0.274667
603,-10,f6ff,-0.152593
604,-4,fcff,-0.061037
605,1,0100,0.015259
606,5,0500,0.076296
607,6,0600,0.091556
608,7,0700,0.106815
609,7,0700,0.106815
610,6,0600,0.091556
611,6,0600,0.091556
612,3,0300,0.045778
613,5,0500,0.076296
614,2,0200,0.030519
615,1,0100,0.015259
616,1,0100,0.015259
617,-1,ffff,-0.015259
618,0,0000,0
619,-1,ffff,-0.015259
620,-1,ffff,-0.015259
621,-1,ffff,-0.015259
622,-2,feff,-0.030519
623,0,0000,0
624,0,0000,0
625,0,0000,0
626,0,0000,0
627,-2,feff,-0.030519
628,0,0000,0
629,1,0100,0.015259
630,1,0100,0.015259
631,2,0200,0.030519
632,1,0100,0.015259
633,2,0200,0.030519
634,2,0200,0.030519
635,1,0100,0.015259
636,1,0100,0.015259
637,0,0000,0
638,0,0000,0
639,-1,ffff,-0.015259
640,-2,feff,-0.030519
641,-3,fdff,-0.045778
642,-5,fbff,-0.076296
643,-3,fdff,-0.045778
644,-5,fbff,-0.076296
645,-5,fbff,-0.076296
646,-5,fbff,-0.076296
647,-6,faff,-0.091556
648,-4,fcff,-0.061037
649,-4,fcff,-0.061037
650,-4,fcff,-0.061037
651,-3,fdff,-0.045778
652,-4,fcff,-0.061037
653,-3,fdff,-0.045778
654,-3,fdff,-0.045778
655,-3,fdff,-0.045778
656,-2,feff,-0.030519
657,-3,fdff,-0.045778
658,-3,fdff,-0.045778
659,-4,fcff,-0.061037
660,-4,fcff,-0.061037
661,-3,fdff,-0.045778
662,-3,fdff,-0.045778
663,-2,feff,-0.030519
664,-2,feff,-0.030519
665,-2,feff,-0.030519
666,-2,feff,-0.030519
667,-3,fdff,-0.045778
668,-2,feff,-0.030519
669,-2,feff,-0.030519
670,-1,ffff,-0.015259
671,-1,ffff,-0.015259
672,-2,feff,-0.030519
673,0,0000,0
674,0,0000,0
675,-2,feff,-0.030519
676,-1,ffff,-0.015259
677,-1,ffff,-0.015259
678,0,0000,0
679,0,0000,0
680,0,0000,0
681,0,0000,0
682,-1,ffff,-0.015259
683,0,0000,0
684,0,0000,0
685,-1,ffff,-0.015259
686,-1,ffff,-0.015259
687,-3,fdff,-0.045778
688,-1,ffff,-0.015259
689,-1,ffff,-0.015259
690,-1,ffff,-0.015259
691,0,0000,0
692,-1,ffff,-0.015259
693,-1,ffff,-0.015259
694,-1,ffff,-0.015259
695,-1,ffff,-0.015259
696,0,0000,0
697,-2,feff,-0.030519
698,-1,ffff,-0.015259
699,-1,ffff,-0.015259
700,0,0000,0
701,0,0000,0
702,0,0000,0
703,1,0100,0.015259
704,0,0000,0
705,0,0000,0
706,2,0200,0.030519
707,1,0100,0.015259
708,1,0100,0.015259
709,0,0000,0
710,0,0000,0
711,-2,feff,-0.030519
712,-3,fdff,-0.045778
713,-2,feff,-0.030519
714,-2,feff,-0.030519
715,-2,feff,-0.030519
716,-1,ffff,-0.015259
717,-2,feff,-0.030519
718,-1,ffff,-0.015259
719,-2,feff,-0.030519
720,-2,feff,-0.030519
721,-1,ffff,-0.015259
722,-2,feff,-0.030519
723,0,0000,0
724,0,0000,0
725,0,0000,0
726,0,0000,0
727,-2,feff,-0.030519
728,-2,feff,-0.030519
729,-2,feff,-0.030519
730,-1,ffff,-0.015259
731,0,0000,0
732,0,0000,0
733,1,0100,0.015259
734,0,0000,0
735,-2,feff,-0.030519
736,-3,fdff,-0.045778
737,-4,fcff,-0.061037
738,-2,feff,-0.030519
739,-3,fdff,-0.045778
740,-4,fcff,-0.061037
741,-4,fcff,-0.061037
742,-4,fcff,-0.061037
743,-3,fdff,-0.045778
744,-2,feff,-0.030519
745,-2,feff,-0.030519
746,-2,feff,-0.030519
747,-3,fdff,-0.045778
748,-1,ffff,-0.015259
749,-3,fdff,-0.045778
750,-2,feff,-0.030519
751,-1,ffff,-0.015259
752,-2,feff,-0.030519
753,0,0000,0
754,0,0000,0
755,0,0000,0
756,2,0200,0.030519
757,4,0400,0.061037
758,7,0700,0.106815
759,8,0800,0.122074
760,7,0700,0.106815
761,4,0400,0.061037
762,-1,ffff,-0.015259
763,-5,fbff,-0.076296
764,-13,f3ff,-0.19837
765,-20,ecff,-0.305185
766,-22,eaff,-0.335704
767,-22,eaff,-0.335704
768,-16,f0ff,-0.244148
769,-10,f6ff,-0.152593
770,-3,fdff,-0.045778
771,2,0200,0.030519
772,4,0400,0.061037
773,6,0600,0.091556
774,7,0700,0.106815
775,7,0700,0.106815
776,7,0700,0.106815
777,4,0400,0.061037
778,4,0400,0.061037
779,2,0200,0.030519
780,1,0100,0.015259
781,0,0000,0
782,-1,ffff,-0.015259
783,-1,ffff,-0.015259
784,-1,ffff,-0.015259
785,-1,ffff,-0.015259
786,0,0000,0
787,-2,feff,-0.030519
788,-1,ffff,-0.015259
789,-1,ffff,-0.015259
790,-1,ffff,-0.015259
791,0,0000,0
792,-1,ffff,-0.015259
793,0,0000,0
794,-1,ffff,-0.015259
795,-1,ffff,-0.015259
796,0,0000,0
797,0,0000,0
798,1,0100,0.015259
799,0,0000,0
800,0,0000,0
801,0,0000,0
802,-1,ffff,-0.015259
803,0,0000,0
804,0,0000,0
805,0,0000,0
806,-1,ffff,-0.015259
807,-3,fdff,-0.045778
808,-1,ffff,-0.015259
809,-3,fdff,-0.045778
810,-4,fcff,-0.061037
811,-4,fcff,-0.061037
812,-5,fbff,-0.076296
813,-4,fcff,-0.061037
814,-3,fdff,-0.045778
815,-3,fdff,-0.045778
816,-2,feff,-0.030519
817,-4,fcff,-0.061037
818,-4,fcff,-0.061037
819,-4,fcff,-0.061037
820,-4,fcff,-0.061037
821,-3,fdff,-0.045778
822,-5,fbff,-0.076296
823,-3,fdff,-0.045778
824,-4,fcff,-0.061037
825,-4,fcff,-0.061037
826,-3,fdff,-0.045778
827,-5,fbff,-0.076296
828,-4,fcff,-0.061037
829,-4,fcff,-0.061037
830,-3,fdff,-0.045778
831,-2,feff,-0.030519
832,-3,fdff,-0.045778
833,-2,feff,-0.030519
834,-2,feff,-0.030519
835,-1,ffff,-0.015259
836,0,0000,0
837,-1,ffff,-0.015259
838,0,0000,0
839,0,0000,0
840,1,0100,0.015259
841,2,0200,0.030519
842,1,0100,0.015259
843,2,0200,0.030519
844,2,0200,0.030519
845,2,0200,0.030519
846,2,0200,0.030519
847,0,0000,0
848,0,0000,0
849,0,0000,0
850,0,0000,0
851,0,0000,0
852,-1,ffff,-0.015259
853,1,0100,0.015259
854,0,0000,0
855,0,0000,0
856,0,0000,0
857,-1,ffff,-0.015259
858,0,0000,0
859,0,0000,0
860,0,0000,0
861,0,0000,0
862,-2,feff,-0.030519
863,-1,ffff,-0.015259
864,-1,ffff,-0.015259
865,-2,feff,-0.030519
866,-1,ffff,-0.015259
867,-2,feff,-0.030519
868,0,0000,0
869,-1,ffff,-0.015259
870,-2,feff,-0.030519
871,-2,feff,-0.030519
872,-3,fdff,-0.045778
873,-2,feff,-0.030519
874,-2,feff,-0.030519
875,-1,ffff,-0.015259
876,0,0000,0
877,-2,feff,-0.030519
878,-2,feff,-0.030519
879,-2,feff,-0.030519
880,-2,feff,-0.030519
881,-1,ffff,-0.015259
882,-2,feff,-0.030519
883,0,0000,0
884,-1,ffff,-0.015259
885,-1,ffff,-0.015259
886,-1,ffff,-0.015259
887,-2,feff,-0.030519
888,-2,feff,-0.030519
889,-2,feff,-0.030519
890,-1,ffff,-0.015259
891,-1,ffff,-0.015259
892,-1,ffff,-0.015259
893,0,0000,0
894,0,0000,0
895,-1,ffff,-0.015259
896,-1,ffff,-0.015259
897,-3,fdff,-0.045778
898,-1,ffff,-0.015259
899,-3,fdff,-0.045778
900,-3,fdff,-0.045778
901,-3,fdff,-0.045778
902,-4,fcff,-0.061037
903,-3,fdff,-0.045778
904,-3,fdff,-0.045778
905,-2,feff,-0.030519
906,-1,ffff,-0.015259
907,-2,feff,-0.030519
908,-1,ffff,-0.015259
909,0,0000,0
910,0,0000,0
911,-1,ffff,-0.015259
912,-2,feff,-0.030519
913,0,0000,0
914,0,0000,0
915,0,0000,0
916,1,0100,0.015259
917,1,0100,0.015259
918,4,0400,0.061037
919,4,0400,0.061037
920,3,0300,0.045778
921,1,0100,0.015259
922,-2,feff,-0.030519
923,-5,fbff,-0.076296
924,-10,f6ff,-0.152593
925,-16,f0ff,-0.244148
926,-19,edff,-0.289926
927,-20,ecff,-0.305185
928,-15,f1ff,-0.228889
929,-11,f5ff,-0.167852
930,-4,fcff,-0.061037
931,1,0100,0.015259
932,4,0400,0.061037
933,7,0700,0.106815
934,8,0800,0.122074
935,8,0800,0.122074
936,8,0800,0.122074
937,5,0500,0.076296
938,5,0500,0.076296
939,4,0400,0.061037
940,4,0400,0.061037
941,3,0300,0.045778
942,0,0000,0
943,0,0000,0
944,-2,feff,-0.030519
945,-3,fdff,-0.045778
946,-2,feff,-0.030519
947,-3,fdff,-0.045778
948,-2,feff,-0.030519
949,-3,fdff,-0.045778
950,-2,feff,-0.030519
951,-2,feff,-0.030519
952,-3,fdff,-0.045778
953,-2,feff,-0.030519
954,-1,ffff,-0.015259
955,-1,ffff,-0.015259
956,0,0000,0
957,0,0000,0
958,1,0100,0.015259
959,0,0000,0
960,0,0000,0
961,0,0000,0
962,-2,feff,-0.030519
963,-2,feff,-0.030519
964,-2,feff,-0.030519
965,-2,feff,-0.030519
966,-1,ffff,-0.015259
967,-2,feff,-0.030519
968,-1,ffff,-0.015259
969,-2,feff,-0.030519
970,-2,feff,-0.030519
971,-2,feff,-0.030519
972,-4,fcff,-0.061037
973,-2,feff,-0.030519
974,-4,fcff,-0.061037
975,-4,fcff,-0.061037
976,-3,fdff,-0.045778
977,-5,fbff,-0.076296
978,-5,fbff,-0.076296
979,-4,fcff,-0.061037
980,-4,fcff,-0.061037
981,-3,fdff,-0.045778
982,-5,fbff,-0.076296
983,-4,fcff,-0.061037
984,-4,fcff,-0.061037
985,-3,fdff,-0.045778
986,-3,fdff,-0.045778
987,-4,fcff,-0.061037
988,-2,feff,-0.030519
989,-3,fdff,-0.045778
990,-3,fdff,-0.045778
991,-2,feff,-0.030519
992,-4,fcff,-0.061037
993,-3,fdff,-0.045778
994,-2,feff,-0.030519
995,-2,feff,-0.030519
996,-1,ffff,-0.015259
997,-2,feff,-0.030519
998,0,0000,0
999,0,0000,0
1000,1,0100,0.015259
1001,1,0100,0.015259
1002,0,0000,0
1003,1,0100,0.015259
1004,0,0000,0
1005,1,0100,0.015259
1006,1,0100,0.015259
1007,0,0000,0
1008,0,0000,0
1009,0,0000,0
1010,0,0000,0
1011,0,0000,0
1012,-2,feff,-0.030519
1013,-2,feff,-0.030519
1014,-2,feff,-0.030519
1015,-1,ffff,-0.015259
1016,0,0000,0
1017,-2,feff,-0.030519
1018,0,0000,0
1019,-2,feff,-0.030519
1020,-1,ffff,-0.015259
1021,0,0000,0
1022,-1,ffff,-0.015259
1023,0,0000,0
1024,0,0000,0
1025,0,0000,0
1026,0,0000,0
1027,-1,ffff,-0.015259
1028,0,0000,0
1029,-1,ffff,-0.015259
1030,-1,ffff,-0.015259
1031,0,0000,0
1032,-2,feff,-0.030519
1033,0,0000,0
1034,-2,feff,-0.030519
1035,-2,feff,-0.030519
1036,-2,feff,-0.030519
