index,int16,hex,mV
0,106,6a00,1.617481
1,97,6100,1.480148
2,-98,9eff,-1.495407
3,-78,b2ff,-1.190222
4,99,6300,1.510666
5,93,5d00,1.419111
6,93,5d00,1.419111
7,-89,a7ff,-1.358074
8,-69,bbff,-1.052889
9,95,5f00,1.449629
10,82,5200,1.251259
11,90,5a00,1.373333
12,-79,b1ff,-1.205481
13,-60,c4ff,-0.915555
14,89,5900,1.358074
15,72,4800,1.098666
16,86,5600,1.312296
17,-73,b7ff,-1.113926
18,-53,cbff,-0.808741
19,90,5a00,1.373333
20,63,3f00,0.961333
21,86,5600,1.312296
22,-62,c2ff,-0.946074
23,-44,d4ff,-0.671407
24,88,5800,1.342814
25,55,3700,0.839259
26,85,5500,1.297037
27,-55,c9ff,-0.839259
28,-39,d9ff,-0.595111
29,83,5300,1.266518
30,48,3000,0.732444
31,78,4e00,1.190222
32,-56,c8ff,-0.854518
33,-35,ddff,-0.534074
34,81,5100,1.236
35,41,2900,0.625629
36,80,5000,1.22074
37,-45,d3ff,-0.686666
38,-28,e4ff,-0.427259
39,81,5100,1.236
40,35,2300,0.534074
41,80,5000,1.22074
42,-38,daff,-0.579852
43,-22,eaff,-0.335704
44,77,4d00,1.174963
45,30,1e00,0.457778
46,74,4a00,1.129185
47,-40,d8ff,-0.61037
48,-20,ecff,-0.305185
49,77,4d00,1.174963
50,25,1900,0.381481
51,76,4c00,1.159703
52,-31,e1ff,-0.473037
53,-14,f2ff,-0.21363
54,77,4d00,1.174963
55,21,1500,0.320444
56,76,4c00,1.159703
57,-27,e5ff,-0.412
58,-11,f5ff,-0.167852
59,73,4900,1.113926
60,17,1100,0.259407
61,70,4600,1.068148
62,-31,e1ff,-0.473037
63,-11,f5ff,-0.167852
64,72,4800,1.098666
65,13,0d00,0.19837
66,73,4900,1.113926
67,-21,ebff,-0.320444
68,-5,fbff,-0.076296
69,72,4800,1.098666
70,10,0a00,0.152593
71,74,4a00,1.129185
72,-17,efff,-0.259407
73,-2,feff,-0.030519
74,71,4700,1.083407
75,7,0700,0.106815
76,67,4300,1.02237
77,-23,e9ff,-0.350963
78,-4,fcff,-0.061037
79,68,4400,1.037629
80,4,0400,0.061037
81,72,4800,1.098666
82,-14,f2ff,-0.21363
83,1,0100,0.015259
84,69,4500,1.052889
85,2,0200,0.030519
86,72,4800,1.098666
87,-11,f5ff,-0.167852
88,2,0200,0.030519
89,67,4300,1.02237
90,0,0000,0
91,67,4300,1.02237
92,-16,f0ff,-0.244148
93,1,0100,0.015259
94,66,4200,1.007111
95,-2,feff,-0.030519
96,70,4600,1.068148
97,-9,f7ff,-0.137333
98,5,0500,0.076296
99,66,4200,1.007111
100,-3,fdff,-0.045778
101,71,4700,1.083407
102,-8,f8ff,-0.122074
103,1,0100,0.015259
104,57,3900,0.869778
105,-5,fbff,-0.076296
106,66,4200,1.007111
107,-10,f6ff,-0.152593
108,5,0500,0.076296
109,64,4000,0.976592
110,-7,f9ff,-0.106815
111,68,4400,1.037629
112,-6,faff,-0.091556
113,8,0800,0.122074
114,64,4000,0.976592
115,-8,f8ff,-0.122074
116,68,4400,1.037629
117,-8,f8ff,-0.122074
118,0,0000,0
119,47,2f00,0.717185
120,-9,f7ff,-0.137333
121,76,4c00,1.159703
122,15,0f00,0.228889
123,6,0600,0.091556
124,59,3b00,0.900296
125,-10,f6ff,-0.152593
126,72,4800,1.098666
127,2,0200,0.030519
128,9,0900,0.137333
129,62,3e00,0.946074
130,-11,f5ff,-0.167852
131,72,4800,1.098666
132,2,0200,0.030519
133,6,0600,0.091556
134,53,3500,0.808741
135,-11,f5ff,-0.167852
136,60,3c00,0.915555
137,-9,f7ff,-0.137333
138,10,0a00,0.152593
139,63,3f00,0.961333
140,-12,f4ff,-0.183111
141,64,4000,0.976592
142,-4,fcff,-0.061037
143,12,0c00,0.183111
144,63,3f00,0.961333
145,-13,f3ff,-0.19837
146,74,4a00,1.129185
147,12,0c00,0.183111
148,-8,f8ff,-0.122074
149,22,1600,0.335704
150,-14,f2ff,-0.21363
151,-1,ffff,-0.015259
152,-8,f8ff,-0.122074
153,-13,f3ff,-0.19837
154,-99,9dff,-1.510666
155,-108,94ff,-1.648
156,-108,94ff,-1.648
157,-16,f0ff,-0.244148
158,-22,eaff,-0.335704
159,-104,98ff,-1.586962
160,-108,94ff,-1.648
161,-108,94ff,-1.648
162,-22,eaff,-0.335704
163,-29,e3ff,-0.442518
164,-8,f8ff,-0.122074
165,-63,c1ff,-0.961333
166,-99,9dff,-1.510666
167,-21,ebff,-0.320444
168,-33,dfff,-0.503555
169,13,0d00,0.19837
170,4,0400,0.061037
171,-12,f4ff,-0.183111
172,-19,edff,-0.289926
173,-32,e0ff,-0.488296
174,58,3a00,0.885037
175,2,0200,0.030519
176,23,1700,0.350963
177,-17,efff,-0.259407
178,-20,ecff,-0.305185
179,60,3c00,0.915555
180,0,0000,0
181,-6,faff,-0.091556
182,-14,f2ff,-0.21363
183,-30,e2ff,-0.457778
184,-92,a4ff,-1.403851
185,-84,acff,-1.281777
186,-79,b1ff,-1.205481
187,-17,efff,-0.259407
188,-33,dfff,-0.503555
189,-67,bdff,-1.02237
190,-47,d1ff,-0.717185
191,-12,f4ff,-0.183111
192,-20,ecff,-0.305185
